limit_records,rate_records_per_second,worker_count,records_processed,cpu_time_seconds,cpu_throughput_records_per_second,avg_processing_latency_ms,estimated_stream_time_seconds,estimated_total_latency_ms,speedup_vs_one_worker
500,10,1,500,0.0025,198349.73,0.005,50.0,100.005,1.0
500,10,2,500,0.0055,91078.0,0.011,50.0,100.011,0.4592
500,10,4,500,0.0063,79474.83,0.0126,50.0,100.0126,0.4007
500,50,1,500,0.0025,201369.32,0.005,10.0,20.005,1.0
500,50,2,500,0.0044,114426.95,0.0087,10.0,20.0087,0.5682
500,50,4,500,0.0057,87203.73,0.0115,10.0,20.0115,0.4331
500,100,1,500,0.0027,187835.76,0.0053,5.0,10.0053,1.0
500,100,2,500,0.0028,178469.44,0.0056,5.0,10.0056,0.9501
500,100,4,500,0.0053,95165.59,0.0105,5.0,10.0105,0.5066
1000,10,1,1000,0.0067,148372.36,0.0067,100.0,100.0067,1.0
1000,10,2,1000,0.0063,157960.42,0.0063,100.0,100.0063,1.0646
1000,10,4,1000,0.0079,127234.56,0.0079,100.0,100.0079,0.8575
1000,50,1,1000,0.0052,192159.88,0.0052,20.0,20.0052,1.0
1000,50,2,1000,0.0071,140177.74,0.0071,20.0,20.0071,0.7295
1000,50,4,1000,0.0095,104867.97,0.0095,20.0,20.0095,0.5457
1000,100,1,1000,0.0065,153888.77,0.0065,10.0,10.0065,1.0
1000,100,2,1000,0.0089,111801.8,0.0089,10.0,10.0089,0.7265
1000,100,4,1000,0.0072,139029.85,0.0072,10.0,10.0072,0.9034
2000,10,1,2000,0.0098,203411.21,0.0049,200.0,100.0049,1.0
2000,10,2,2000,0.0136,147302.52,0.0068,200.0,100.0068,0.7242
2000,10,4,2000,0.0176,113893.92,0.0088,200.0,100.0088,0.5599
2000,50,1,2000,0.013,154161.59,0.0065,40.0,20.0065,1.0
2000,50,2,2000,0.0171,116959.06,0.0085,40.0,20.0085,0.7587
2000,50,4,2000,0.0154,129542.91,0.0077,40.0,20.0077,0.8403
2000,100,1,2000,0.0137,146479.37,0.0068,20.0,10.0068,1.0
2000,100,2,2000,0.0152,131721.93,0.0076,20.0,10.0076,0.8993
2000,100,4,2000,0.0148,135422.45,0.0074,20.0,10.0074,0.9245
